,ID_Pengiriman,Tanggal,Waktu_Keberangkatan,Waktu_Kedatangan,Lat_Jemput,Lon_Jemput,Lat_Tujuan,Lon_Tujuan,Jarak_KM_Terukur,ID_Kurir,Tipe_Kendaraan,Pengalaman_Kurir,Jumlah_Paket,Kondisi_Cuaca,Kondisi_Lalu_Lintas,Tipe_Area_Tujuan,Durasi_Pengiriman_Menit,ETA_Awal_Menit,Status_Keterlambatan
0,DEL-00001,2023-10-09 10:28:00,2023-10-09 10:28:00,2023-10-09 12:09:35.444386,-6.187769530151799,106.88439378852858,-6.324869240021736,106.7834298352978,39.44772552617686,21,Motor,Menengah,37,Badai,Sedang,Perumahan,101.59073976598128,63.49421235373831,1
1,DEL-00002,2023-09-15 17:07:00,2023-09-15 17:07:00,2023-09-15 17:53:45.354053,-6.140012176185849,106.89895165350696,-6.140301774356292,106.71111860844404,19.092557707822586,7,Motor,Menengah,5,Hujan_Ringan,Ringan,Perumahan,46.75590088771416,42.690170375739015,0
2,DEL-00003,2023-09-21 13:57:00,2023-09-21 13:57:00,2023-09-21 14:05:42.112794,-6.101567447219508,106.9483391909688,-6.204142589368425,106.92741884967104,1.0,1,Motor,Menengah,5,Cerah,Sedang,Perumahan,8.701879898284927,7.614144910999312,0
3,DEL-00004,2023-09-19 13:10:00,2023-09-19 13:10:00,2023-09-19 13:53:23.355129,-6.11253769810004,106.77859596535568,-6.292111640440443,106.65599066058095,23.393817976950878,1,MTR,Rendah,11,Cerah,Sedang,Perumahan,43.38925214987044,37.96559563113664,0
4,DEL-00005,2023-09-11 14:52:00,2023-09-11 14:52:00,2023-09-11 15:15:47.785700,-6.085218312881348,106.9122283560418,-6.172220168393054,106.81652136876886,17.144595029161525,18,Mobil_Van,Rendah,16,Cerah,Ringan,Perumahan,23.7964283373384,24.98624975420532,0
5,DEL-00006,2023-10-06 14:23:00,2023-10-06 14:23:00,2023-10-06 15:14:28.426606,-6.059823613242514,106.93726183170506,-6.186616354454289,106.76185482261153,21.51980363205233,32,Motor,Tinggi,36,Badai,Sedang,Bisnis,51.47377677033496,35.745678312732615,0
6,DEL-00007,2023-09-03 12:52:00,2023-09-03 12:52:00,2023-09-03 13:43:30.758527,-6.218278815577419,106.7018682434684,-6.323360209457001,106.7883171586443,31.727706911361288,31,Mobil_Van,Rendah,31,Cerah,Ringan,Bisnis,51.5126421168486,54.08827422269104,0
7,DEL-00008,2023-09-02 14:43:00,2023-09-02 14:43:00,2023-09-02 16:11:28.188857,-6.064899359999483,106.79383082671784,-6.157876168184856,106.81096951688366,41.10870246144937,18,Motor,Menengah,33,Cerah,Sedang,Perumahan,88.46981427774212,77.41108749302435,0
8,DEL-00009,2023-09-30 12:01:00,2023-09-30 12:01:00,2023-09-30 12:55:58.612156,-6.133013015497156,106.66800324565682,-6.119853538210847,106.81042458667994,28.62216911090523,16,Motor,Menengah,6,Hujan_Ringan,Ringan,Bisnis,54.976869258547936,50.19627193171769,0
9,DEL-00010,2023-10-30 11:32:00,2023-10-30 11:32:00,2023-10-30 12:33:40.213467,-6.328799542907577,106.83621720360726,-6.264033677687271,106.71108709912691,29.652859100054137,1,Mobil_Van,Menengah,23,Hujan_Ringan,Ringan,Perumahan,61.670224448505934,56.30759623559238,0
10,DEL-00011,2023-09-12 16:21:00,2023-09-12 16:21:00,2023-09-12 16:30:29.088130,-6.145465063636297,106.82442184705695,-6.143753341401708,106.85391069687002,5.473057710326378,44,Motor,Menengah,29,Cerah,Sedang,Industri,9.484802173854304,8.299201902122515,0
11,DEL-00012,2023-10-14 15:48:00,2023-10-14 15:48:00,2023-10-14 16:43:44.346107,-6.143985002118546,106.71123788539896,-6.290084144897365,106.65574448735764,21.09652909990776,11,Motor,Menengah,39,Cerah,Sedang,Bisnis,55.73910178849452,48.7717140649327,0
